age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,previously_contacted
46,Management,Single,Secondary,No,-246.0,Yes,No,Unknown,5,May,255,2.0,-1,0,No,0
36,Technician,Single,Secondary,No,265.0,Yes,Yes,Unknown,5,May,348,1.0,-1,0,No,0
57,Technician,Married,Secondary,No,839.0,No,Yes,Unknown,5,May,225,1.0,-1,0,No,0
49,Management,Married,Tertiary,No,378.0,Yes,No,Unknown,5,May,230,1.0,-1,0,No,0
60,Admin.,Married,Secondary,No,39.0,Yes,Yes,Unknown,5,May,208,1.0,-1,0,No,0
59,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,226,1.0,-1,0,No,0
51,Management,Married,Tertiary,No,3462.0,Yes,No,Unknown,5,May,336,1.0,-1,0,No,0
57,Technician,Divorced,Secondary,No,63.0,Yes,No,Unknown,5,May,242,1.0,-1,0,No,0
25,Blue-collar,Married,Secondary,No,-7.0,Yes,No,Unknown,5,May,365,1.0,-1,0,No,0
53,Technician,Married,Secondary,No,-3.0,No,No,Unknown,5,May,1666,1.0,-1,0,No,0
36,Admin.,Divorced,Secondary,No,506.0,Yes,No,Unknown,5,May,577,1.0,-1,0,No,0
37,Admin.,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,137,1.0,-1,0,No,0
44,Services,Divorced,Secondary,No,2586.0,Yes,No,Unknown,5,May,160,1.0,-1,0,No,0
50,Management,Married,Secondary,No,49.0,Yes,No,Unknown,5,May,180,2.0,-1,0,No,0
60,Blue-collar,Married,Secondary,No,104.0,Yes,No,Unknown,5,May,22,1.0,-1,0,No,0
54,Retired,Married,Secondary,No,529.0,Yes,No,Unknown,5,May,1492,1.0,-1,0,No,0
58,Retired,Married,Secondary,No,96.0,Yes,No,Unknown,5,May,616,1.0,-1,0,No,0
36,Admin.,Single,Primary,No,-171.0,Yes,No,Unknown,5,May,242,1.0,-1,0,No,0
58,Self-employed,Married,Tertiary,No,-364.0,Yes,No,Unknown,5,May,355,1.0,-1,0,No,0
44,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,225,2.0,-1,0,No,0
55,Technician,Divorced,Secondary,No,0.0,No,No,Unknown,5,May,160,1.0,-1,0,No,0
29,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,363,1.0,-1,0,No,0
54,Blue-collar,Married,Secondary,No,1291.0,Yes,No,Unknown,5,May,266,1.0,-1,0,No,0
48,Management,Divorced,Tertiary,No,-244.0,Yes,No,Unknown,5,May,253,1.0,-1,0,No,0
32,Management,Married,Tertiary,No,0.0,Yes,No,Unknown,5,May,179,1.0,-1,0,No,0
42,Admin.,Single,Secondary,No,-76.0,Yes,No,Unknown,5,May,787,1.0,-1,0,No,0
24,Technician,Single,Secondary,No,-103.0,Yes,Yes,Unknown,5,May,145,1.0,-1,0,No,0
38,Entrepreneur,Single,Tertiary,No,243.0,No,Yes,Unknown,5,May,174,1.0,-1,0,No,0
38,Management,Single,Tertiary,No,424.0,Yes,No,Unknown,5,May,104,1.0,-1,0,No,0
47,Blue-collar,Married,Secondary,No,306.0,Yes,No,Unknown,5,May,13,1.0,-1,0,No,0
40,Blue-collar,Single,Secondary,No,24.0,Yes,No,Unknown,5,May,185,1.0,-1,0,No,0
46,Services,Married,Primary,No,179.0,Yes,No,Unknown,5,May,1778,1.0,-1,0,No,0
32,Admin.,Married,Tertiary,No,0.0,Yes,No,Unknown,5,May,138,1.0,-1,0,No,0
53,Technician,Divorced,Secondary,No,989.0,Yes,No,Unknown,5,May,812,1.0,-1,0,No,0
57,Blue-collar,Married,Primary,No,249.0,Yes,No,Unknown,5,May,164,1.0,-1,0,No,0
33,Services,Married,Secondary,No,790.0,Yes,No,Unknown,5,May,391,1.0,-1,0,No,0
49,Blue-collar,Married,Secondary,No,154.0,Yes,No,Unknown,5,May,357,1.0,-1,0,No,0
51,Management,Married,Tertiary,No,3462.0,Yes,No,Unknown,5,May,91,1.0,-1,0,No,0
60,Retired,Married,Tertiary,No,100.0,No,No,Unknown,5,May,528,1.0,-1,0,No,0
59,Management,Divorced,Tertiary,No,59.0,Yes,No,Unknown,5,May,273,1.0,-1,0,No,0
55,Technician,Married,Secondary,No,1205.0,Yes,No,Unknown,5,May,158,2.0,-1,0,No,0
35,Blue-collar,Single,Secondary,No,3462.0,Yes,Yes,Unknown,5,May,177,1.0,-1,0,No,0
57,Blue-collar,Married,Secondary,No,3462.0,Yes,Yes,Unknown,5,May,258,1.0,-1,0,No,0
31,Services,Married,Secondary,No,25.0,Yes,Yes,Unknown,5,May,172,1.0,-1,0,No,0
54,Management,Married,Secondary,No,282.0,Yes,Yes,Unknown,5,May,154,1.0,-1,0,No,0
55,Blue-collar,Married,Primary,No,23.0,Yes,No,Unknown,5,May,291,1.0,-1,0,No,0
43,Technician,Married,Secondary,No,1937.0,Yes,No,Unknown,5,May,181,1.0,-1,0,No,0
53,Technician,Married,Secondary,No,384.0,Yes,No,Unknown,5,May,176,1.0,-1,0,No,0
44,Blue-collar,Married,Secondary,No,582.0,No,Yes,Unknown,5,May,211,1.0,-1,0,No,0
55,Services,Divorced,Secondary,No,91.0,No,No,Unknown,5,May,349,1.0,-1,0,No,0
49,Services,Divorced,Secondary,No,0.0,Yes,Yes,Unknown,5,May,272,1.0,-1,0,No,0
55,Services,Divorced,Secondary,Yes,1.0,Yes,No,Unknown,5,May,208,1.0,-1,0,No,0
45,Admin.,Single,Secondary,No,206.0,Yes,No,Unknown,5,May,193,1.0,-1,0,No,0
47,Services,Divorced,Secondary,No,164.0,No,No,Unknown,5,May,212,1.0,-1,0,No,0
42,Technician,Single,Secondary,No,690.0,Yes,No,Unknown,5,May,20,1.0,-1,0,No,0
59,Admin.,Married,Secondary,No,2343.0,Yes,No,Unknown,5,May,1042,1.0,-1,0,Yes,0
46,Self-employed,Married,Tertiary,No,137.0,Yes,Yes,Unknown,5,May,246,1.0,-1,0,No,0
51,Blue-collar,Married,Primary,No,173.0,Yes,No,Unknown,5,May,529,2.0,-1,0,No,0
56,Admin.,Married,Secondary,No,45.0,No,No,Unknown,5,May,1467,1.0,-1,0,Yes,0
41,Technician,Married,Secondary,No,1270.0,Yes,No,Unknown,5,May,1389,1.0,-1,0,Yes,0
46,Management,Divorced,Secondary,No,16.0,Yes,Yes,Unknown,5,May,188,2.0,-1,0,No,0
57,Retired,Married,Secondary,No,486.0,Yes,No,Unknown,5,May,180,2.0,-1,0,No,0
42,Management,Single,Secondary,No,50.0,No,No,Unknown,5,May,48,1.0,-1,0,No,0
30,Technician,Married,Secondary,No,152.0,Yes,Yes,Unknown,5,May,213,2.0,-1,0,No,0
60,Admin.,Married,Secondary,No,290.0,Yes,No,Unknown,5,May,583,1.0,-1,0,No,0
60,Blue-collar,Married,Secondary,No,54.0,Yes,No,Unknown,5,May,221,1.0,-1,0,No,0
57,Entrepreneur,Divorced,Secondary,No,-37.0,No,No,Unknown,5,May,173,1.0,-1,0,No,0
36,Management,Married,Tertiary,No,101.0,Yes,Yes,Unknown,5,May,426,1.0,-1,0,No,0
55,Blue-collar,Married,Secondary,No,383.0,No,No,Unknown,5,May,287,1.0,-1,0,No,0
60,Retired,Married,Tertiary,No,81.0,Yes,No,Unknown,5,May,101,1.0,-1,0,No,0
39,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,203,1.0,-1,0,No,0
46,Management,Married,Tertiary,No,229.0,Yes,No,Unknown,5,May,197,1.0,-1,0,No,0
44,Blue-collar,Married,Secondary,No,-674.0,Yes,No,Unknown,5,May,257,1.0,-1,0,No,0
53,Blue-collar,Married,Primary,No,90.0,No,No,Unknown,5,May,124,1.0,-1,0,No,0
52,Blue-collar,Married,Primary,No,128.0,Yes,No,Unknown,5,May,229,1.0,-1,0,No,0
59,Blue-collar,Married,Primary,No,179.0,Yes,No,Unknown,5,May,55,3.0,-1,0,No,0
27,Technician,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,400,1.0,-1,0,No,0
44,Blue-collar,Married,Secondary,No,54.0,Yes,No,Unknown,5,May,197,1.0,-1,0,No,0
47,Technician,Married,Tertiary,No,151.0,Yes,No,Unknown,5,May,190,1.0,-1,0,No,0
34,Admin.,Married,Secondary,No,61.0,No,Yes,Unknown,5,May,21,1.0,-1,0,No,0
59,Retired,Single,Secondary,No,30.0,Yes,No,Unknown,5,May,514,1.0,-1,0,No,0
45,Management,Married,Tertiary,No,523.0,Yes,No,Unknown,5,May,849,2.0,-1,0,No,0
29,Services,Divorced,Secondary,No,31.0,Yes,No,Unknown,5,May,194,1.0,-1,0,No,0
46,Technician,Divorced,Secondary,No,79.0,No,No,Unknown,5,May,144,1.0,-1,0,No,0
56,Self-employed,Married,Primary,No,-34.0,Yes,Yes,Unknown,5,May,212,2.0,-1,0,No,0
36,Blue-collar,Married,Primary,No,448.0,Yes,No,Unknown,5,May,286,1.0,-1,0,No,0
59,Retired,Divorced,Primary,No,81.0,Yes,No,Unknown,5,May,107,1.0,-1,0,No,0
44,Blue-collar,Married,Secondary,No,144.0,Yes,No,Unknown,5,May,247,2.0,-1,0,No,0
41,Admin.,Married,Secondary,No,351.0,Yes,No,Unknown,5,May,518,1.0,-1,0,No,0
33,Management,Single,Tertiary,No,-67.0,Yes,No,Unknown,5,May,364,1.0,-1,0,No,0
59,Management,Divorced,Tertiary,No,262.0,No,No,Unknown,5,May,178,1.0,-1,0,No,0
57,Technician,Married,Primary,No,0.0,No,No,Unknown,5,May,98,1.0,-1,0,No,0
56,Technician,Divorced,Secondary,No,56.0,Yes,No,Unknown,5,May,439,1.0,-1,0,No,0
51,Blue-collar,Married,Secondary,No,26.0,Yes,No,Unknown,5,May,79,1.0,-1,0,No,0
34,Admin.,Married,Secondary,No,3.0,Yes,No,Unknown,5,May,120,3.0,-1,0,No,0
43,Services,Married,Secondary,No,41.0,Yes,Yes,Unknown,5,May,127,2.0,-1,0,No,0
52,Technician,Married,Tertiary,No,7.0,No,Yes,Unknown,5,May,175,1.0,-1,0,No,0
33,Technician,Single,Secondary,No,105.0,Yes,No,Unknown,5,May,262,2.0,-1,0,No,0
29,Admin.,Single,Secondary,No,818.0,Yes,Yes,Unknown,5,May,61,1.0,-1,0,No,0
34,Services,Married,Secondary,No,-16.0,Yes,Yes,Unknown,5,May,78,1.0,-1,0,No,0
31,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,143,1.0,-1,0,No,0
55,Services,Married,Secondary,No,2476.0,Yes,No,Unknown,5,May,579,1.0,-1,0,Yes,0
55,Management,Married,Secondary,No,1185.0,No,No,Unknown,5,May,677,1.0,-1,0,No,0
32,Admin.,Single,Secondary,No,217.0,Yes,No,Unknown,5,May,345,1.0,-1,0,No,0
38,Technician,Single,Secondary,No,1685.0,Yes,No,Unknown,5,May,185,1.0,-1,0,No,0
55,Admin.,Single,Secondary,No,802.0,Yes,Yes,Unknown,5,May,100,2.0,-1,0,No,0
28,Unemployed,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,125,2.0,-1,0,No,0
23,Blue-collar,Married,Secondary,No,94.0,Yes,No,Unknown,5,May,193,1.0,-1,0,No,0
32,Technician,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,136,1.0,-1,0,No,0
43,Services,Single,Secondary,No,0.0,No,No,Unknown,5,May,73,1.0,-1,0,No,0
32,Blue-collar,Married,Secondary,No,517.0,Yes,No,Unknown,5,May,528,1.0,-1,0,No,0
46,Blue-collar,Married,Secondary,No,265.0,Yes,No,Unknown,5,May,541,1.0,-1,0,No,0
53,Housemaid,Divorced,Primary,No,947.0,Yes,No,Unknown,5,May,163,1.0,-1,0,No,0
34,Self-employed,Single,Secondary,No,3.0,Yes,No,Unknown,5,May,301,1.0,-1,0,No,0
57,Unemployed,Married,Tertiary,No,42.0,No,No,Unknown,5,May,46,1.0,-1,0,No,0
37,Blue-collar,Married,Secondary,No,37.0,Yes,No,Unknown,5,May,204,1.0,-1,0,No,0
59,Blue-collar,Married,Secondary,No,57.0,Yes,No,Unknown,5,May,98,1.0,-1,0,No,0
33,Services,Married,Secondary,No,22.0,Yes,No,Unknown,5,May,71,1.0,-1,0,No,0
56,Blue-collar,Divorced,Primary,No,8.0,Yes,No,Unknown,5,May,157,2.0,-1,0,No,0
48,Unemployed,Married,Secondary,No,293.0,Yes,No,Unknown,5,May,243,1.0,-1,0,No,0
43,Services,Married,Primary,No,3.0,Yes,No,Unknown,5,May,186,2.0,-1,0,No,0
54,Blue-collar,Married,Primary,No,348.0,Yes,No,Unknown,5,May,579,2.0,-1,0,No,0
51,Blue-collar,Married,Secondary,No,-19.0,Yes,No,Unknown,5,May,163,2.0,-1,0,No,0
26,Student,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,610,2.0,-1,0,No,0
40,Management,Married,Tertiary,No,-4.0,Yes,No,Unknown,5,May,2033,1.0,-1,0,No,0
39,Management,Married,Secondary,No,18.0,Yes,No,Unknown,5,May,85,1.0,-1,0,No,0
50,Technician,Married,Primary,No,139.0,No,No,Unknown,5,May,114,2.0,-1,0,No,0
41,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,114,2.0,-1,0,No,0
51,Blue-collar,Married,Secondary,No,1883.0,Yes,No,Unknown,5,May,57,1.0,-1,0,No,0
60,Retired,Divorced,Secondary,No,216.0,Yes,No,Unknown,5,May,238,1.0,-1,0,No,0
52,Blue-collar,Married,Secondary,No,782.0,Yes,No,Unknown,5,May,93,3.0,-1,0,No,0
48,Blue-collar,Married,Secondary,No,904.0,Yes,No,Unknown,5,May,128,2.0,-1,0,No,0
48,Services,Married,Secondary,No,1705.0,Yes,No,Unknown,5,May,107,1.0,-1,0,No,0
39,Technician,Single,Tertiary,No,47.0,Yes,No,Unknown,5,May,181,1.0,-1,0,No,0
47,Services,Single,Secondary,No,176.0,Yes,No,Unknown,5,May,303,2.0,-1,0,No,0
40,Blue-collar,Married,Secondary,No,1225.0,Yes,No,Unknown,5,May,558,5.0,-1,0,No,0
45,Technician,Married,Secondary,No,86.0,Yes,No,Unknown,5,May,270,1.0,-1,0,No,0
26,Admin.,Single,Secondary,No,82.0,Yes,No,Unknown,5,May,228,1.0,-1,0,No,0
52,Management,Married,Tertiary,No,271.0,Yes,No,Unknown,5,May,99,1.0,-1,0,No,0
54,Technician,Married,Secondary,No,1378.0,Yes,No,Unknown,5,May,240,1.0,-1,0,No,0
54,Admin.,Married,Tertiary,No,184.0,No,No,Unknown,5,May,673,2.0,-1,0,Yes,0
50,Blue-collar,Married,Primary,No,0.0,No,No,Unknown,5,May,233,3.0,-1,0,No,0
35,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,1056,1.0,-1,0,No,0
44,Services,Married,Secondary,No,1357.0,Yes,Yes,Unknown,5,May,250,1.0,-1,0,No,0
53,Entrepreneur,Married,Secondary,No,19.0,Yes,No,Unknown,5,May,252,1.0,-1,0,No,0
35,Retired,Single,Primary,No,434.0,No,No,Unknown,5,May,138,1.0,-1,0,No,0
60,Admin.,Divorced,Secondary,No,92.0,Yes,No,Unknown,5,May,130,1.0,-1,0,No,0
53,Admin.,Divorced,Secondary,No,1151.0,Yes,No,Unknown,5,May,412,1.0,-1,0,No,0
48,Unemployed,Married,Secondary,No,41.0,Yes,No,Unknown,5,May,179,2.0,-1,0,No,0
34,Technician,Married,Secondary,No,51.0,Yes,No,Unknown,5,May,19,2.0,-1,0,No,0
54,Services,Married,Secondary,No,214.0,Yes,No,Unknown,5,May,458,2.0,-1,0,No,0
51,Management,Married,Secondary,No,1161.0,Yes,No,Unknown,5,May,717,1.0,-1,0,No,0
31,Services,Married,Tertiary,No,37.0,Yes,No,Unknown,5,May,313,1.0,-1,0,No,0
35,Technician,Divorced,Secondary,No,787.0,Yes,No,Unknown,5,May,683,2.0,-1,0,No,0
35,Services,Married,Secondary,No,59.0,Yes,No,Unknown,5,May,1077,1.0,-1,0,No,0
38,Technician,Married,Secondary,No,253.0,Yes,No,Unknown,5,May,416,1.0,-1,0,No,0
36,Admin.,Married,Tertiary,No,211.0,Yes,No,Unknown,5,May,146,2.0,-1,0,No,0
58,Retired,Married,Primary,No,235.0,Yes,No,Unknown,5,May,167,1.0,-1,0,No,0
40,Services,Divorced,Secondary,No,3462.0,Yes,No,Unknown,5,May,315,1.0,-1,0,No,0
54,Management,Married,Secondary,No,3462.0,No,No,Unknown,5,May,140,1.0,-1,0,No,0
34,Blue-collar,Single,Secondary,No,53.0,Yes,Yes,Unknown,5,May,346,1.0,-1,0,No,0
31,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,May,562,1.0,-1,0,No,0
51,Retired,Married,Secondary,No,2127.0,Yes,No,Unknown,5,May,172,1.0,-1,0,No,0
33,Management,Married,Tertiary,No,377.0,Yes,No,Unknown,5,May,217,1.0,-1,0,No,0
55,Management,Married,Tertiary,No,73.0,Yes,No,Unknown,5,May,142,2.0,-1,0,No,0
42,Admin.,Married,Secondary,No,445.0,Yes,No,Unknown,5,May,67,1.0,-1,0,No,0
34,Blue-collar,Married,Secondary,No,243.0,Yes,No,Unknown,5,May,291,1.0,-1,0,No,0
33,Blue-collar,Single,Secondary,No,307.0,Yes,No,Unknown,5,May,309,2.0,-1,0,No,0
38,Services,Married,Secondary,No,155.0,Yes,No,Unknown,5,May,248,1.0,-1,0,No,0
50,Technician,Divorced,Tertiary,No,173.0,No,Yes,Unknown,5,May,98,1.0,-1,0,No,0
43,Management,Married,Tertiary,No,400.0,Yes,No,Unknown,5,May,256,1.0,-1,0,No,0
61,Blue-collar,Divorced,Primary,No,1428.0,Yes,No,Unknown,5,May,82,2.0,-1,0,No,0
47,Admin.,Married,Secondary,No,219.0,Yes,No,Unknown,5,May,577,1.0,-1,0,No,0
48,Self-employed,Married,Tertiary,No,7.0,Yes,No,Unknown,5,May,286,1.0,-1,0,No,0
44,Blue-collar,Married,Secondary,No,575.0,Yes,No,Unknown,5,May,477,1.0,-1,0,No,0
35,Student,Single,Secondary,No,298.0,Yes,No,Unknown,5,May,611,2.0,-1,0,No,0
35,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,471,1.0,-1,0,No,0
50,Services,Married,Secondary,No,3462.0,Yes,No,Unknown,5,May,381,2.0,-1,0,No,0
41,Management,Married,Tertiary,No,176.0,Yes,Yes,Unknown,5,May,42,1.0,-1,0,No,0
41,Management,Married,Tertiary,No,517.0,Yes,No,Unknown,5,May,251,1.0,-1,0,No,0
39,Services,Single,Secondary,No,257.0,Yes,No,Unknown,5,May,408,1.0,-1,0,No,0
42,Retired,Married,Secondary,No,56.0,Yes,No,Unknown,5,May,215,1.0,-1,0,No,0
38,Blue-collar,Married,Secondary,No,-390.0,Yes,No,Unknown,5,May,287,1.0,-1,0,No,0
53,Retired,Married,Secondary,No,330.0,Yes,No,Unknown,5,May,216,2.0,-1,0,No,0
59,Housemaid,Divorced,Primary,No,195.0,No,No,Unknown,5,May,366,2.0,-1,0,No,0
36,Services,Married,Secondary,No,301.0,Yes,No,Unknown,5,May,210,1.0,-1,0,No,0
54,Blue-collar,Married,Primary,No,-41.0,Yes,No,Unknown,5,May,288,1.0,-1,0,No,0
40,Technician,Married,Tertiary,No,483.0,Yes,No,Unknown,5,May,168,1.0,-1,0,No,0
47,Blue-collar,Married,Secondary,No,28.0,No,No,Unknown,5,May,338,2.0,-1,0,No,0
53,Unemployed,Married,Secondary,No,13.0,No,No,Unknown,5,May,410,3.0,-1,0,No,0
46,Housemaid,Married,Primary,No,965.0,No,No,Unknown,5,May,177,1.0,-1,0,No,0
39,Management,Married,Tertiary,No,378.0,Yes,Yes,Unknown,5,May,127,2.0,-1,0,No,0
40,Unemployed,Married,Secondary,No,219.0,Yes,No,Unknown,5,May,357,1.0,-1,0,No,0
28,Blue-collar,Married,Primary,No,324.0,Yes,No,Unknown,5,May,175,1.0,-1,0,No,0
35,Entrepreneur,Divorced,Secondary,No,-69.0,Yes,No,Unknown,5,May,300,1.0,-1,0,No,0
55,Retired,Married,Secondary,No,0.0,No,Yes,Unknown,5,May,136,1.0,-1,0,No,0
43,Technician,Divorced,Secondary,No,205.0,Yes,No,Unknown,5,May,1419,1.0,-1,0,No,0
48,Blue-collar,Married,Primary,No,278.0,Yes,No,Unknown,5,May,125,2.0,-1,0,No,0
58,Management,Married,Secondary,No,1065.0,Yes,No,Unknown,5,May,213,3.0,-1,0,No,0
33,Management,Single,Tertiary,No,34.0,Yes,No,Unknown,5,May,27,1.0,-1,0,No,0
36,Blue-collar,Married,Secondary,No,1033.0,No,No,Unknown,5,May,238,2.0,-1,0,No,0
53,Services,Divorced,Secondary,No,1467.0,Yes,No,Unknown,5,May,124,1.0,-1,0,No,0
47,Blue-collar,Married,Primary,No,-12.0,Yes,No,Unknown,5,May,18,1.0,-1,0,No,0
31,Services,Married,Secondary,No,388.0,Yes,No,Unknown,5,May,730,2.0,-1,0,No,0
57,Entrepreneur,Married,Secondary,No,294.0,Yes,No,Unknown,5,May,746,2.0,-1,0,No,0
53,Blue-collar,Married,Secondary,No,1827.0,No,No,Unknown,5,May,121,1.0,-1,0,No,0
55,Blue-collar,Married,Primary,No,627.0,Yes,No,Unknown,5,May,247,1.0,-1,0,No,0
45,Blue-collar,Married,Primary,No,25.0,Yes,No,Unknown,5,May,40,1.0,-1,0,No,0
53,Admin.,Divorced,Secondary,No,315.0,Yes,No,Unknown,5,May,181,2.0,-1,0,No,0
37,Blue-collar,Married,Primary,No,0.0,Yes,No,Unknown,5,May,79,1.0,-1,0,No,0
44,Admin.,Divorced,Secondary,No,66.0,Yes,No,Unknown,5,May,206,1.0,-1,0,No,0
49,Blue-collar,Divorced,Primary,No,-9.0,Yes,Yes,Unknown,5,May,389,1.0,-1,0,No,0
46,Technician,Married,Secondary,No,349.0,Yes,Yes,Unknown,5,May,127,1.0,-1,0,No,0
43,Entrepreneur,Married,Secondary,No,100.0,Yes,No,Unknown,5,May,702,1.0,-1,0,No,0
38,Admin.,Married,Secondary,No,0.0,No,No,Unknown,5,May,151,1.0,-1,0,No,0
43,Technician,Married,Secondary,No,434.0,Yes,No,Unknown,5,May,117,1.0,-1,0,No,0
49,Management,Married,Tertiary,No,3237.0,Yes,No,Unknown,5,May,232,3.0,-1,0,No,0
42,Management,Married,Secondary,No,275.0,No,No,Unknown,5,May,408,2.0,-1,0,No,0
22,Blue-collar,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,179,2.0,-1,0,No,0
40,Management,Married,Tertiary,No,207.0,Yes,No,Unknown,5,May,39,1.0,-1,0,No,0
39,Blue-collar,Married,Secondary,No,483.0,Yes,No,Unknown,5,May,282,1.0,-1,0,No,0
51,Services,Married,Secondary,No,2248.0,Yes,No,Unknown,5,May,714,2.0,-1,0,No,0
49,Admin.,Married,Secondary,No,428.0,Yes,No,Unknown,5,May,50,1.0,-1,0,No,0
53,Blue-collar,Married,Secondary,No,0.0,Yes,Yes,Unknown,5,May,181,1.0,-1,0,No,0
34,Services,Single,Secondary,No,0.0,Yes,No,Unknown,5,May,142,1.0,-1,0,No,0
33,Technician,Divorced,Secondary,No,140.0,Yes,No,Unknown,5,May,227,1.0,-1,0,No,0
50,Management,Single,Tertiary,No,297.0,Yes,No,Unknown,5,May,119,1.0,-1,0,No,0
39,Blue-collar,Married,Primary,No,279.0,Yes,No,Unknown,5,May,361,1.0,-1,0,No,0
59,Entrepreneur,Divorced,Secondary,No,901.0,Yes,No,Unknown,5,May,73,3.0,-1,0,No,0
30,Technician,Single,Secondary,No,2573.0,Yes,No,Unknown,5,May,67,2.0,-1,0,No,0
36,Services,Married,Secondary,No,143.0,Yes,Yes,Unknown,5,May,350,1.0,-1,0,No,0
40,Blue-collar,Married,Secondary,No,475.0,Yes,No,Unknown,5,May,332,2.0,-1,0,No,0
53,Blue-collar,Married,Secondary,No,70.0,Yes,No,Unknown,5,May,611,2.0,-1,0,No,0
34,Management,Single,Tertiary,No,318.0,Yes,No,Unknown,5,May,113,2.0,-1,0,No,0
37,Technician,Married,Secondary,No,275.0,Yes,No,Unknown,5,May,132,1.0,-1,0,No,0
42,Management,Divorced,Tertiary,No,742.0,Yes,No,Unknown,5,May,58,3.0,-1,0,No,0
41,Entrepreneur,Married,Primary,No,236.0,Yes,No,Unknown,5,May,151,1.0,-1,0,No,0
30,Student,Single,Tertiary,No,25.0,Yes,No,Unknown,5,May,89,2.0,-1,0,No,0
37,Management,Single,Tertiary,No,600.0,Yes,No,Unknown,5,May,152,1.0,-1,0,No,0
39,Admin.,Divorced,Secondary,No,-349.0,Yes,No,Unknown,5,May,611,2.0,-1,0,No,0
41,Blue-collar,Married,Primary,No,183.0,Yes,Yes,Unknown,5,May,110,2.0,-1,0,No,0
