age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,y,previously_contacted,season_quarter,has_housing,has_personal,debt_score,age_group,is_high_value,month
57,Technician,Divorced,Secondary,No,63.0,Yes,No,Unknown,5,242,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
25,Blue-collar,Married,Secondary,No,-7.0,Yes,No,Unknown,5,365,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
53,Technician,Married,Secondary,No,-3.0,No,No,Unknown,5,1666,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
36,Admin.,Divorced,Secondary,No,506.0,Yes,No,Unknown,5,577,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
37,Admin.,Single,Secondary,No,0.0,Yes,No,Unknown,5,137,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
44,Services,Divorced,Secondary,No,2586.0,Yes,No,Unknown,5,160,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
50,Management,Married,Secondary,No,49.0,Yes,No,Unknown,5,180,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
60,Blue-collar,Married,Secondary,No,104.0,Yes,No,Unknown,5,22,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
54,Retired,Married,Secondary,No,529.0,Yes,No,Unknown,5,1492,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
58,Retired,Married,Secondary,No,96.0,Yes,No,Unknown,5,616,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
36,Admin.,Single,Primary,No,-171.0,Yes,No,Unknown,5,242,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
58,Self-employed,Married,Tertiary,No,-364.0,Yes,No,Unknown,5,355,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
44,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,225,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
55,Technician,Divorced,Secondary,No,0.0,No,No,Unknown,5,160,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
29,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,363,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
54,Blue-collar,Married,Secondary,No,1291.0,Yes,No,Unknown,5,266,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
48,Management,Divorced,Tertiary,No,-244.0,Yes,No,Unknown,5,253,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
32,Management,Married,Tertiary,No,0.0,Yes,No,Unknown,5,179,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
42,Admin.,Single,Secondary,No,-76.0,Yes,No,Unknown,5,787,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
24,Technician,Single,Secondary,No,-103.0,Yes,Yes,Unknown,5,145,1.0,-1,0,No,0,Q2,1,1,2,Young Adult,0,May
38,Entrepreneur,Single,Tertiary,No,243.0,No,Yes,Unknown,5,174,1.0,-1,0,No,0,Q2,0,1,1,Middle Aged,0,May
38,Management,Single,Tertiary,No,424.0,Yes,No,Unknown,5,104,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
47,Blue-collar,Married,Secondary,No,306.0,Yes,No,Unknown,5,13,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
40,Blue-collar,Single,Secondary,No,24.0,Yes,No,Unknown,5,185,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
46,Services,Married,Primary,No,179.0,Yes,No,Unknown,5,1778,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
32,Admin.,Married,Tertiary,No,0.0,Yes,No,Unknown,5,138,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
53,Technician,Divorced,Secondary,No,989.0,Yes,No,Unknown,5,812,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
57,Blue-collar,Married,Primary,No,249.0,Yes,No,Unknown,5,164,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
33,Services,Married,Secondary,No,790.0,Yes,No,Unknown,5,391,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
49,Blue-collar,Married,Secondary,No,154.0,Yes,No,Unknown,5,357,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Management,Married,Tertiary,No,3462.0,Yes,No,Unknown,5,91,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
60,Retired,Married,Tertiary,No,100.0,No,No,Unknown,5,528,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
59,Management,Divorced,Tertiary,No,59.0,Yes,No,Unknown,5,273,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
55,Technician,Married,Secondary,No,1205.0,Yes,No,Unknown,5,158,2.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
35,Blue-collar,Single,Secondary,No,3462.0,Yes,Yes,Unknown,5,177,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,1,May
57,Blue-collar,Married,Secondary,No,3462.0,Yes,Yes,Unknown,5,258,1.0,-1,0,No,0,Q2,1,1,2,Senior,1,May
31,Services,Married,Secondary,No,25.0,Yes,Yes,Unknown,5,172,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
54,Management,Married,Secondary,No,282.0,Yes,Yes,Unknown,5,154,1.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
55,Blue-collar,Married,Primary,No,23.0,Yes,No,Unknown,5,291,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
43,Technician,Married,Secondary,No,1937.0,Yes,No,Unknown,5,181,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
53,Technician,Married,Secondary,No,384.0,Yes,No,Unknown,5,176,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
44,Blue-collar,Married,Secondary,No,582.0,No,Yes,Unknown,5,211,1.0,-1,0,No,0,Q2,0,1,1,Middle Aged,1,May
55,Services,Divorced,Secondary,No,91.0,No,No,Unknown,5,349,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
49,Services,Divorced,Secondary,No,0.0,Yes,Yes,Unknown,5,272,1.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
55,Services,Divorced,Secondary,Yes,1.0,Yes,No,Unknown,5,208,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
45,Admin.,Single,Secondary,No,206.0,Yes,No,Unknown,5,193,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
47,Services,Divorced,Secondary,No,164.0,No,No,Unknown,5,212,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
42,Technician,Single,Secondary,No,690.0,Yes,No,Unknown,5,20,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
59,Admin.,Married,Secondary,No,2343.0,Yes,No,Unknown,5,1042,1.0,-1,0,Yes,0,Q2,1,0,1,Senior,1,May
46,Self-employed,Married,Tertiary,No,137.0,Yes,Yes,Unknown,5,246,1.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
51,Blue-collar,Married,Primary,No,173.0,Yes,No,Unknown,5,529,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
56,Admin.,Married,Secondary,No,45.0,No,No,Unknown,5,1467,1.0,-1,0,Yes,0,Q2,0,0,0,Senior,0,May
41,Technician,Married,Secondary,No,1270.0,Yes,No,Unknown,5,1389,1.0,-1,0,Yes,0,Q2,1,0,1,Middle Aged,1,May
46,Management,Divorced,Secondary,No,16.0,Yes,Yes,Unknown,5,188,2.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
57,Retired,Married,Secondary,No,486.0,Yes,No,Unknown,5,180,2.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
42,Management,Single,Secondary,No,50.0,No,No,Unknown,5,48,1.0,-1,0,No,0,Q2,0,0,0,Middle Aged,0,May
30,Technician,Married,Secondary,No,152.0,Yes,Yes,Unknown,5,213,2.0,-1,0,No,0,Q2,1,1,2,Young Adult,0,May
60,Admin.,Married,Secondary,No,290.0,Yes,No,Unknown,5,583,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
60,Blue-collar,Married,Secondary,No,54.0,Yes,No,Unknown,5,221,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
57,Entrepreneur,Divorced,Secondary,No,-37.0,No,No,Unknown,5,173,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
36,Management,Married,Tertiary,No,101.0,Yes,Yes,Unknown,5,426,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
55,Blue-collar,Married,Secondary,No,383.0,No,No,Unknown,5,287,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
60,Retired,Married,Tertiary,No,81.0,Yes,No,Unknown,5,101,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
39,Technician,Married,Secondary,No,0.0,Yes,No,Unknown,5,203,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
46,Management,Married,Tertiary,No,229.0,Yes,No,Unknown,5,197,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
44,Blue-collar,Married,Secondary,No,-674.0,Yes,No,Unknown,5,257,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
53,Blue-collar,Married,Primary,No,90.0,No,No,Unknown,5,124,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
52,Blue-collar,Married,Primary,No,128.0,Yes,No,Unknown,5,229,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
59,Blue-collar,Married,Primary,No,179.0,Yes,No,Unknown,5,55,3.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
27,Technician,Single,Tertiary,No,0.0,Yes,No,Unknown,5,400,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
44,Blue-collar,Married,Secondary,No,54.0,Yes,No,Unknown,5,197,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
47,Technician,Married,Tertiary,No,151.0,Yes,No,Unknown,5,190,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
34,Admin.,Married,Secondary,No,61.0,No,Yes,Unknown,5,21,1.0,-1,0,No,0,Q2,0,1,1,Middle Aged,0,May
59,Retired,Single,Secondary,No,30.0,Yes,No,Unknown,5,514,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
45,Management,Married,Tertiary,No,523.0,Yes,No,Unknown,5,849,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
29,Services,Divorced,Secondary,No,31.0,Yes,No,Unknown,5,194,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
46,Technician,Divorced,Secondary,No,79.0,No,No,Unknown,5,144,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
56,Self-employed,Married,Primary,No,-34.0,Yes,Yes,Unknown,5,212,2.0,-1,0,No,0,Q2,1,1,2,Senior,0,May
36,Blue-collar,Married,Primary,No,448.0,Yes,No,Unknown,5,286,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
59,Retired,Divorced,Primary,No,81.0,Yes,No,Unknown,5,107,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
44,Blue-collar,Married,Secondary,No,144.0,Yes,No,Unknown,5,247,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
41,Admin.,Married,Secondary,No,351.0,Yes,No,Unknown,5,518,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
33,Management,Single,Tertiary,No,-67.0,Yes,No,Unknown,5,364,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
59,Management,Divorced,Tertiary,No,262.0,No,No,Unknown,5,178,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
57,Technician,Married,Primary,No,0.0,No,No,Unknown,5,98,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
56,Technician,Divorced,Secondary,No,56.0,Yes,No,Unknown,5,439,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Blue-collar,Married,Secondary,No,26.0,Yes,No,Unknown,5,79,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
34,Admin.,Married,Secondary,No,3.0,Yes,No,Unknown,5,120,3.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
43,Services,Married,Secondary,No,41.0,Yes,Yes,Unknown,5,127,2.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
52,Technician,Married,Tertiary,No,7.0,No,Yes,Unknown,5,175,1.0,-1,0,No,0,Q2,0,1,1,Senior,0,May
33,Technician,Single,Secondary,No,105.0,Yes,No,Unknown,5,262,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
29,Admin.,Single,Secondary,No,818.0,Yes,Yes,Unknown,5,61,1.0,-1,0,No,0,Q2,1,1,2,Young Adult,1,May
34,Services,Married,Secondary,No,-16.0,Yes,Yes,Unknown,5,78,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
31,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,143,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
55,Services,Married,Secondary,No,2476.0,Yes,No,Unknown,5,579,1.0,-1,0,Yes,0,Q2,1,0,1,Senior,1,May
55,Management,Married,Secondary,No,1185.0,No,No,Unknown,5,677,1.0,-1,0,No,0,Q2,0,0,0,Senior,1,May
32,Admin.,Single,Secondary,No,217.0,Yes,No,Unknown,5,345,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
38,Technician,Single,Secondary,No,1685.0,Yes,No,Unknown,5,185,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
55,Admin.,Single,Secondary,No,802.0,Yes,Yes,Unknown,5,100,2.0,-1,0,No,0,Q2,1,1,2,Senior,1,May
28,Unemployed,Single,Tertiary,No,0.0,Yes,No,Unknown,5,125,2.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
23,Blue-collar,Married,Secondary,No,94.0,Yes,No,Unknown,5,193,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
32,Technician,Single,Secondary,No,0.0,Yes,No,Unknown,5,136,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
43,Services,Single,Secondary,No,0.0,No,No,Unknown,5,73,1.0,-1,0,No,0,Q2,0,0,0,Middle Aged,0,May
32,Blue-collar,Married,Secondary,No,517.0,Yes,No,Unknown,5,528,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
46,Blue-collar,Married,Secondary,No,265.0,Yes,No,Unknown,5,541,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
53,Housemaid,Divorced,Primary,No,947.0,Yes,No,Unknown,5,163,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
34,Self-employed,Single,Secondary,No,3.0,Yes,No,Unknown,5,301,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
57,Unemployed,Married,Tertiary,No,42.0,No,No,Unknown,5,46,1.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
37,Blue-collar,Married,Secondary,No,37.0,Yes,No,Unknown,5,204,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
59,Blue-collar,Married,Secondary,No,57.0,Yes,No,Unknown,5,98,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
33,Services,Married,Secondary,No,22.0,Yes,No,Unknown,5,71,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
56,Blue-collar,Divorced,Primary,No,8.0,Yes,No,Unknown,5,157,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
48,Unemployed,Married,Secondary,No,293.0,Yes,No,Unknown,5,243,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
43,Services,Married,Primary,No,3.0,Yes,No,Unknown,5,186,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
54,Blue-collar,Married,Primary,No,348.0,Yes,No,Unknown,5,579,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Blue-collar,Married,Secondary,No,-19.0,Yes,No,Unknown,5,163,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
26,Student,Single,Secondary,No,0.0,Yes,No,Unknown,5,610,2.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
40,Management,Married,Tertiary,No,-4.0,Yes,No,Unknown,5,2033,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
39,Management,Married,Secondary,No,18.0,Yes,No,Unknown,5,85,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
50,Technician,Married,Primary,No,139.0,No,No,Unknown,5,114,2.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
41,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,114,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
51,Blue-collar,Married,Secondary,No,1883.0,Yes,No,Unknown,5,57,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
60,Retired,Divorced,Secondary,No,216.0,Yes,No,Unknown,5,238,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
52,Blue-collar,Married,Secondary,No,782.0,Yes,No,Unknown,5,93,3.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
48,Blue-collar,Married,Secondary,No,904.0,Yes,No,Unknown,5,128,2.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
48,Services,Married,Secondary,No,1705.0,Yes,No,Unknown,5,107,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
39,Technician,Single,Tertiary,No,47.0,Yes,No,Unknown,5,181,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
47,Services,Single,Secondary,No,176.0,Yes,No,Unknown,5,303,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
40,Blue-collar,Married,Secondary,No,1225.0,Yes,No,Unknown,5,558,5.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
45,Technician,Married,Secondary,No,86.0,Yes,No,Unknown,5,270,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
26,Admin.,Single,Secondary,No,82.0,Yes,No,Unknown,5,228,1.0,-1,0,No,0,Q2,1,0,1,Young Adult,0,May
52,Management,Married,Tertiary,No,271.0,Yes,No,Unknown,5,99,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
54,Technician,Married,Secondary,No,1378.0,Yes,No,Unknown,5,240,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
54,Admin.,Married,Tertiary,No,184.0,No,No,Unknown,5,673,2.0,-1,0,Yes,0,Q2,0,0,0,Senior,0,May
50,Blue-collar,Married,Primary,No,0.0,No,No,Unknown,5,233,3.0,-1,0,No,0,Q2,0,0,0,Senior,0,May
35,Blue-collar,Married,Secondary,No,0.0,Yes,No,Unknown,5,1056,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
44,Services,Married,Secondary,No,1357.0,Yes,Yes,Unknown,5,250,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,1,May
53,Entrepreneur,Married,Secondary,No,19.0,Yes,No,Unknown,5,252,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
35,Retired,Single,Primary,No,434.0,No,No,Unknown,5,138,1.0,-1,0,No,0,Q2,0,0,0,Middle Aged,0,May
60,Admin.,Divorced,Secondary,No,92.0,Yes,No,Unknown,5,130,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
53,Admin.,Divorced,Secondary,No,1151.0,Yes,No,Unknown,5,412,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
48,Unemployed,Married,Secondary,No,41.0,Yes,No,Unknown,5,179,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
34,Technician,Married,Secondary,No,51.0,Yes,No,Unknown,5,19,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
54,Services,Married,Secondary,No,214.0,Yes,No,Unknown,5,458,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
51,Management,Married,Secondary,No,1161.0,Yes,No,Unknown,5,717,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
31,Services,Married,Tertiary,No,37.0,Yes,No,Unknown,5,313,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
35,Technician,Divorced,Secondary,No,787.0,Yes,No,Unknown,5,683,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
35,Services,Married,Secondary,No,59.0,Yes,No,Unknown,5,1077,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
38,Technician,Married,Secondary,No,253.0,Yes,No,Unknown,5,416,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
36,Admin.,Married,Tertiary,No,211.0,Yes,No,Unknown,5,146,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
58,Retired,Married,Primary,No,235.0,Yes,No,Unknown,5,167,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
40,Services,Divorced,Secondary,No,3462.0,Yes,No,Unknown,5,315,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,1,May
54,Management,Married,Secondary,No,3462.0,No,No,Unknown,5,140,1.0,-1,0,No,0,Q2,0,0,0,Senior,1,May
34,Blue-collar,Single,Secondary,No,53.0,Yes,Yes,Unknown,5,346,1.0,-1,0,No,0,Q2,1,1,2,Middle Aged,0,May
31,Management,Single,Tertiary,No,0.0,Yes,No,Unknown,5,562,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
51,Retired,Married,Secondary,No,2127.0,Yes,No,Unknown,5,172,1.0,-1,0,No,0,Q2,1,0,1,Senior,1,May
33,Management,Married,Tertiary,No,377.0,Yes,No,Unknown,5,217,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
55,Management,Married,Tertiary,No,73.0,Yes,No,Unknown,5,142,2.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
42,Admin.,Married,Secondary,No,445.0,Yes,No,Unknown,5,67,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
34,Blue-collar,Married,Secondary,No,243.0,Yes,No,Unknown,5,291,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
33,Blue-collar,Single,Secondary,No,307.0,Yes,No,Unknown,5,309,2.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
38,Services,Married,Secondary,No,155.0,Yes,No,Unknown,5,248,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
50,Technician,Divorced,Tertiary,No,173.0,No,Yes,Unknown,5,98,1.0,-1,0,No,0,Q2,0,1,1,Senior,0,May
43,Management,Married,Tertiary,No,400.0,Yes,No,Unknown,5,256,1.0,-1,0,No,0,Q2,1,0,1,Middle Aged,0,May
61,Blue-collar,Divorced,Primary,No,1428.0,Yes,No,Unknown,5,82,2.0,-1,0,No,0,Q2,1,0,1,Elderly,1,May
47,Admin.,Married,Secondary,No,219.0,Yes,No,Unknown,5,577,1.0,-1,0,No,0,Q2,1,0,1,Senior,0,May
